8.11 -  Exportaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección,Capítulo,CONCEPTO,   UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las exportaciones (a),   MP,1.512.197,1.495.783,1.675.259,1.621.891,1.421.658,1.671.631,2.332.118,2.159.453,2.924.558,3.685.665,3.664.157,2.863.004,4.549.533,5.870.090,5.577.268,5.283.142,4.857.468,3.349.640,2.316.934,2.401.688,2.372.779,2.062.469,1.702.812,1.966.040,2.170.009
0 ,,   Productos alimenticios y animales vivos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,776.262,659.992,656.703,711.097,594.560,439.689,459.899,273.739,323.010,325.794,340.067,305.925,355.850,482.568,570.329,549.367,507.848,522.911,454.096,582.966,295.036,314.066,253.555,233.545,152.595
,00,     Animales vivos no incluidos en el cap. 03 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,836,2.038,1.657,979,2.183,2.189,2.203,1.074,2.315,2.311,2.263,3.213,1.202,4.985,3.393,3.476,3.698,1.567,1.990,1.594,617,357,12,72,297
,01,     Carne y preparados de carne,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,34,500,240,170,54,122,501,604,1.540,42,54,-,-,81,-,-,-,8,0,-,-,1,-,-,-
,02,     Productos lácteos y huevos de aves,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,   MP,16,41,59,99,159,234,342,29,65,1.186,58,265 ,451,185,375,349,231,110,149,693,83,63,67,8,52
,03,     Pescado (no incluidos los mamíferos,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"        marinos), crustáceos, moluscos e inver-",,,,,,,,,,,,,,,,,,,,,,,,,,
,,        tebrados acuáticos y sus preparados,,,,,,,,,,,,,,,,,,,,,,,,,,
,,          Valor,   MP,102.786,96.055,87.225,80.308,97.780,64.383,88.457,72.064,63.563,83.389,73.758,45.784,59.642,66.007,65.763,70.822,79.515,66.185,73.757,79.483,84.005,82.093,60.584,92.717,62.571
,,       Pescado y marisco fresco y congelado,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,    t,7.536,7.832,7.495,6.763,8.780,6.070,10.126,6.574,7.060,6.924,6.214,5.901,5.707,4.339,5.036,6.910,6.178,6.660,6.788,7.734,7.692,8.178,5.747,6.591,2.380
,,          Valor,   MP,102.661,95.267,86.571,79.599,97.239,63.689,87.960,70.941,62.633,82.363,73.620,45.681,59.628,65.917,65.708,70.801,79.515,66.071,73.650,79.199,83.214,81.545,59.688,91.792,62.041
,,       Pescado y marisco en conserva,,,,,,,,,,,,,,,,,,,,,,,,,,
