8.5 - Exportaciones según país del último destino de las  mercancías  por países seleccionados y áreas ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        geográficas,,,,,,,,,,,,,,,,,,,                                          ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,Miles de pesos,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAÍSES SELECCIONADOS,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total,5.991.477,5.321.489,5.402.060,5.512.441,5.399.884,5.414.949,2.979.512,1.779.424,1.156.663,1.330.756,1.491.634,1.865.526,1.819.127,1.512.197,1.495.783,1.675.259,1.621.891,1.421.670,1.688.017,2.332.118,2.159.443,2.924.558,3.685.665,3.664.157,2.863.004,4.549.533,5.870.090,5.577.268,5.283.142,4.857.468,3.349.640,2.316.934,2.401.688,2.372.779,2.062.469,1.702.812,1.966.040,2.170.009
  Europa,5.544.224,4.942.671,5.026.096,4.942.485,4.641.483,4.386.407,2.221.925,1.103.368,780.521,658.538,702.750,1.114.215,916.414,898.936,900.278,990.636,1.076.998,864.146,924.569,1.154.945,953.887,1.241.447,898.471,809.104,718.518,854.047,1.215.374,1.279.664,1.290.523,1.245.818,852.467,645.171,726.489,565.605,625.192,542.518,461.333,691.462
"    Alemania, República Federal de",249.428,269.490,309.957,381.848,356.090,136.518,35.713,43.747,34.105,38.521,53.696,85.386,71.351,67.859,72.596,120.882,20.755,14.578,21.345,21.092,17.458,21.413,24.259,27.041,29.440,28.246,39.885,42.672,81.312,55.268,46.559,51.571,55.801,48.047,44.417,37.181,38.498,41.540
    Andorra,127,258,276,620,587,1.216,1.172,1.933,1.645,736,1.163,1.574,2.295,-,-,-,2,-,1.567,2.970,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
    Austria,17.595,3.535,2.452,5.571,10.038,8.020,4.104,1.348,848,319,1.368,818,137,932,1.561,2.630,145,177,893,395,1.271,1.763,1.236,2.070,1.115,1.098,1.504,166,708,1.565,1.851,1.124,522,215,613,663,502,-
    Bélgica,9.560,7.899,5.673,24.601,28.930,31.365,21.776,28.971,13.118,13.853,29.930,44.829,41.870,41.407,43.978,48.289,13.147,6.432,9.617,20.164,13.186,7.154,17.253,10.849,8.218,30.001,36.509,40.112,118.405,213.015,78.060,30.864,77.256,46.052,39.654,18.586,16.801,14.298
    Bielorusia,-,-,-,-,-,-,-,3.872,5.462,9.356,-,-,3.256,7.167,-,-,1,3.234,7.201,19.572,106,88,5.495,8.409,663,250,14.355,35.921,512,22.846,20.480,33.757,16.622,1.253,982,728,770,2.099
    Bulgaria,185.497,147.029,169.073,161.852,177.961,82.920,11.763,22.884,11.037,19.419,36.454,24.623,17.266,224,8.469,226,121,4.481,5.925,5.313,259,286,1.534,626,6.421,2.408,925,985,13.185,4.358,7.793,4.241,5.471,5.631,6.443,5.156,4.592,7.047
Croacia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,399,142,277,572,249,340,39.429,45.461,18.661,25.556,74,204,53,72,37
    Dinamarca ,1.553,137,1.024,903,135,141,62,39,89,103,231,462,286,2.050,78,57,426,239,2.871,1.302,508,876,7.025,649,18.166,1.024,1.900,871,413,24.573,135,249,29,224,-,39,66,2.045
    España ,101.750,88.198,84.903,81.862,87.209,93.478,89.107,76.807,58.014,69.280,93.279,112.244,170.359,141.069,159.409,150.183,143.545,144.478,178.736,174.210,160.573,156.908,172.533,194.802,153.943,160.746,164.868,149.792,171.026,140.539,147.002,177.422,207.180,180.038,231.196,143.685,165.101,347.959
    Federación Rusa,4.481.636,3.935.858,3.868.736,3.683.073,3.236.941,3.594.629,1.803.912,607.264,400.657,278.948,194.464,456.972,303.162,355.254,302.776,324.577,404.691,278.364,132.104,120.825,52.517,136.716,70.570,55.961,87.684,57.472,55.792,89.554,19.936,55.716,56.089,32.290,20.940,10.740,26.358,7.424,5.397,2.390
    Finlandia,5.891,6,8.001,168,14.858,9.522,17.966,14.354,13.863,9.826,3.117,118,70,8.178,403,3.817,189,261,655,6.609,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
    Francia,63.017,47.895,57.585,66.854,54.418,61.956,62.671,40.689,32.413,42.134,52.706,54.184,34.582,43.110,50.517,42.411,61.030,49.182,38.165,36.940,48.878,51.495,68.461,272.634,45.454,106.664,23.479,28.021,43.138,61.312,30.440,30.711,37.151,36.073,28.752,26.269,17.417,27.058
    Grecia ,34,3.014,19,69,9,7,3.454,57,6,9,59,48,50,10,23,86,28,77,1.667,910,103,88,1.492,3.735,1.969,3.270,3.974,8.677,10.875,8.405,10.699,9.608,16.001,16.793,18.718,12.953,15.102,11.505
    Países Bajos,45.158,38.625,42.134,52.654,33.736,28.302,36.318,30.816,23.673,28.769,53.221,77.917,39.097,53.074,93.037,116.834,333.900,296.563,419.382,647.062,598.865,788.045,435.514,386.208,237.956,353.154,655.009,697.605,456.728,468.070,222.410,90.530,91.659,121.035,139.997,196.093,70.693,101.130
    Hungría,20.639,21.350,66.710,35.320,55.406,5.245,2.800,-,24,44,6,-,22,15,        -,        -,4,,10,30,1,1,-,88,79, -, -,26,11.411,64,23,27,-,71,71,40,5,-
    Irlanda ,220,391,203,235,67,8,23,12,2,-,52,1,39,-,-,17,50,849,-,52,29,29,51,37,20,111,89,193,206,182,187,119,592,4,4,21,12,9
    Italia,21.758,28.211,36.106,49.392,36.164,45.360,37.202,50.320,36.484,45.714,61.483,39.104,40.881,27.979,39.283,34.198,10.309,10.709,12.689,12.867,10.803,17.388,24.133,63.615,28.784,38.097,51.396,33.070,55.775,29.074,23.510,21.147,20.255,14.400,14.946,12.840,12.826,14.181
    Letonia,-,-,-,-,-,-,-,2.461,3.512,5.830,13.324,7.094,21.974,-,-,-,-,-,96,306,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
    Liechtenstein,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
    Luxemburgo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,62,-,-,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
    Noruega,666,2.258,21,2,-,1,-,1,-,995,-,2,38,45,35,124,13,45,75,78,12,115,71,68,88,61,88,1.926,1.304,139,191,1.405,374,72,187,59,16,16
    Polonia,74.477,53.926,43.849,37.580,53.668,5.108,-,706,30,17,10,27,19,53,31,145,16,-,37,289,272,392,533,637,660,735,8.543,41.307,14.278,740,2,3,42,84,251,164,158,792
    Portugal ,229,2.323,225,1.518,12.340,14.510,13.126,27.862,27.749,29.755,15.646,11.891,31.676,14.562,26.424,17.844,21.903,27.867,18.452,28.282,8.003,19.083,24.143,47.534,21.335,16.752,6.552,30.741,31.331,19.932,26.656,25.668,16.108,42.016,15.290,37.608,28.998,35.699
    Reino Unido ,27.384,16.973,13.365,42.227,103.908,42.585,34.278,40.866,18.150,12.180,22.747,29.799,29.471,24.687,30.206,38.101,20.180,9.932,10.046,13.313,10.827,12.778,13.345,7.069,6.997,18.904,36.933,21.503,101.407,33.975,41.550,17.258,12.813,10.039,9.286,9.260,7.831,12.618
    República Checa,119.222,123.292,143.998,182.376,135.895,80.618,7.854,5.809,55,329,956,246,199,297,493,32,101,60,2,176,660,1.276,1.328,1.548,1.773,6.043,6.709,2.964,3.541,10.202,2.462,2.343,2.747,2.991,2.109,2.238,1.951,2.503
    República Eslovaca,-,-,-,-,-,-,-,-,475,649,-,4,377,-,-,30,120,-,9,186,1,35,36,540,472,76,33, -, -,7,2,3.420,2.255,408,9,2,6,234
    Rumania,38.319,83.806,108.954,96.665,121.974,99.101,2.879,4.544,6.469,19.623,27.058,60.321,15.922,9.823,1.777,11.534,13.018,27,8.268,2.196,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
    Suecia,2.947,6.465,7.759,18.870,31.262,22.523,21.875,20.337,16.352,24.269,24.625,32.944,35.884,31.346,35.240,50.426,2.089,965,2.080,2.791,1.741,1.259,1.182,1.522,1.409,1.162,1.991,3.367,4.323,2.362,2.412,4.695,16.869,3.191,3.690,4.377,13.776,8.748
    Suiza,68.686,53.879,48.746,12.161,72.615,16.134,10.799,13.136,9.949,7.625,12.710,12.811,23.841,21.466,24.329,22.602,30.261,15.110,25.746,25.067,13.290,12.497,12.472,15.235,14.506,14.194,14.290,16.737,34.143,17.779,19.481,15.069,21.833,21.686,36.996,18.102,12.651,10.299
    Ucrania,-,-,-,-,-,-,-,58.923,64.745,19,523,42.140,557,22.614,1.199,478,690,38,9.149,9.377,429,987,1.289,12.453,6.749,7.198,966,910,551,3.199,869,3.502,2.885,15,1.631,12,12,41
