8.6- Importaciones según país de origen de las mercancías  por  países seleccionados y áreas geográficas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,                                         ,,,,,,,,,,,,,,,,,,                Miles de pesos,                Miles de pesos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAÍSES SELECCIONADOS,1985 ,1986 ,1987 ,1988 ,1989 ,1990 ,1991 ,1992 ,1993 ,1994 ,1995 ,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Total,8.034.976,7.596.136,7.583.678,7.602.894,8.139.811,7.416.525,4.233.752,2.314.916,2.008.215,2.016.821,2.882.530,3.568.997,3.987.256,4.181.192,4.349.090,4.795.613,4.793.235,4.188.148,4.672.763,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.982,11.483.653,9.901.427,7.230.347,8.431.207,9.833.119
  Europa,7.131.232,6.858.001,7.019.527,6.935.247,7.229.224,6.488.109,3.487.064,1.374.372,831.590,872.719,1.101.279,1.353.088,1.495.950,1.751.332,1.764.144,1.819.106,1.679.594,1.464.868,1.575.904,1.554.480,1.914.282,2.636.951,2.659.403,3.169.106,2.040.790,2.158.165,2.830.411,2.954.128,3.365.365,2.869.785,3.095.617,2.979.262,3.249.105,3.514.798,3.592.183,2.699.325,3.155.889,3.510.736
"    Alemania, República Federal de",364.070,395.073,391.301,397.747,436.016,373.183,111.860,68.009,47.908,37.372,52.037,52.291,85.687,78.140,75.967,77.841,98.731,82.377,119.288,133.098,312.047,618.463,371.730,377.617,279.541,269.417,286.259,311.463,343.955,322.852,360.144,330.854,305.346,352.183,293.940,258.612,195.489,258.761
    Andorra,-,-,-,687,1.251,224,-,-,-,-,13,                 -,                 -,23,                 -,                 -,                 -,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
    Austria,30.876,40.419,26.030,31.077,21.767,16.561,17.228,11.498,3.972,9.576,7.573,1.392,3.785,4.357,3.172,9.096,4.022,4.157,5.785,6.236,7.136,9.424,11.170,12.021,17.681,25.599,16.092,16.947,23.606,14.299,15.353,13.657,17.031,41.640,18.201,19.790,8.691,10.992
    Bélgica,11.401,17.259,4.760,12.988,10.050,12.559,5.915,5.340,8.913,5.047,11.005,32.130,27.980,39.973,34.436,36.851,21.784,23.301,34.543,33.194,42.448,39.236,38.105,59.382,35.743,44.916,61.955,65.994,79.473,78.962,92.672,71.904,97.722,92.116,175.081,67.076,58.683,56.160
