8.7 - Exportaciones de mercancías por grupos de productos ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,   ,,,,,,,,,,,,,,,,,,,                        Millones de pesos
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPTO,1985,1986,1987,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,5.992,5.322,5.402,5.400,5.415,2.980,1.779,1.157,1.331,1.492,1.866,1.819,1.512,1.496,1.675,1.622,1.422,1.688,2.332,2.159,2.925,3.686,3.664,2.863,4.550,5.870,5.577,5.283,4.857,3.350,2.317,2.402,2.373,2.062,1.703,1.966,2.170
De ello:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Productos agropecuarios,204,220,251,170,184,85,32,31,41,45,39,39,59,43,41,31,23,42,33,16,16,15,15,15,14,22,23,26,31,28,24,25,24,20,23,31,26
   Productos de la pesca,120,125,144,129,102,128,105,69,100,123,126,128,104,97,91,81,98,65,89,72,64,84,74,46,60,66,66,71,79,65,74,79,78,73,58,82,54
   Productos de la industria azucarera,4.463,4.099,4.013,3.954,4.338,2.288,1.240,758,760,714,976,853,599,463,453,550,456,289,272,150,220,203,236,226,266,376,477,463,416,436,360,478,184,212,171,107,61
   Productos de la minería,308,314,332,497,398,240,241,160,201,331,423,416,345,410,599,465,432,620,1.068,994,1.347,2.081,1.434,839,1.151,1.419,1.011,711,742,521,464,618,746,617,623,791,961
   Productos de la industria del tabaco,92,78,91,85,114,114,94,71,71,102,109,161,192,205,166,217,144,215,217,225,246,236,235,212,202,223,224,245,227,211,230,241,260,267,234,204,230
   Otros productos,806,487,572,565,279,125,68,67,158,177,192,222,214,278,326,279,268,457,653,703,1.031,1.066,1.671,1.525,2.856,3.927,…,…,…,…,…,…,…,…,…,…,…
