CONCEPTO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Total," 5 019,5"," 5 007,1"," 4 984,0"," 4 926,8"," 4 919,7"," 4 802,6"," 4 735,5"," 4 609,3"," 4 583,0"," 4 617,1"," 4 632,0"," 4 601,1"," 4 606,0"," 4 643,7"," 4 405,8"," 4 110,2"," 4 038,4"," 3 972,3"," 4 025,4"," 3 942,6"," 3 703,7"," 3 737,2"," 3 787,4"," 3 821,3"," 3 892,8"," 3 992,5"," 4 059,1"," 4 084,0"," 4 092,2"," 4 134,3"," 4 045,9"," 4 013,9"," 3 865,5"," 3 808,4"," 3 817,3"," 3 752,4"," 3 657,3"," 3 516,4"
  Total hembras," 3 371,3"," 3 393,8"," 3 391,4"," 3 359,2"," 3 366,5"," 3 280,4"," 3 236,1"," 3 130,9"," 3 063,1"," 3 026,1"," 2 993,1"," 2 956,9"," 2 953,2"," 2 986,5"," 2 830,8"," 2 638,5"," 2 608,6"," 2 572,6"," 2 602,5"," 2 532,1"," 2 399,9"," 2 423,9"," 2 463,3"," 2 494,9"," 2 536,1"," 2 605,3"," 2 635,7"," 2 656,4"," 2 651,3"," 2 675,7"," 2 615,5"," 2 627,9"," 2 540,6"," 2 535,6"," 2 527,6"," 2 474,1"," 2 408,2"," 2 328,0"
    Terneras,"588,8","598,9","589,9","583,4","590,9","591,2","548,6","519,4","524,8","524,7","523,4","  506,2","  494,4","  511,7","  480,6","  435,4","  444,2","  430,3","  423,2","  417,9","  356,5","  381,0","  385,6","  393,6","  418,7","  414,2","  416,8","  411,1","416,9","409,1","  397,8","  387,5","  374,6","  372,0","  384,2","  374,7","  367,7","  357,1"
    Añojas,"418,6","372,5","389,4","374,3","365,7","347,6","331,1","299,7","296,8","330,5","342,0","  351,3","  360,9","  362,5","  348,3","  319,9","  323,6","  322,2","  314,4","  301,6","  292,0","  266,3","  274,4","  278,0","  275,8","  287,3","  283,6","  281,7","275,5","281,8","  268,6","  263,4","  256,3","  244,6","  250,6","  250,6","  240,0","  228,0"
    Novillas,"828,7","873,5","855,1","857,9","864,7","810,4","822,2","809,8","779,7","739,3","723,9","  701,4","  696,0","  695,8","  652,4","  594,2","  580,8","  584,1","  615,4","  595,6","  609,9","  608,6","  593,6","  604,0","  620,9","  661,1","  682,4","  701,1","695,9","715,8","  725,2","  754,0","  736,9","  749,9","  721,7","  715,6","  718,1","  720,6"
    Vacas,"1.535,2","1.548,9","1.557,0","1.543,6","1.545,2","1.531,2","1.534,2","1.502,0","1.461,8","1.431,6","1.403,8"," 1 398,0"," 1 401,9"," 1 416,5"," 1 349,5"," 1 289,0"," 1 260,0"," 1 236,0"," 1 249,5"," 1 217,0"," 1 141,5"," 1 168,0"," 1 209,7"," 1 219,3"," 1 220,7"," 1 242,7"," 1 252,9"," 1 262,5"," 1 263,0"," 1 269,0"," 1 223,9"," 1 223,0"," 1 172,8"," 1 169,1"," 1 171,1"," 1 133,2"," 1 082,4"," 1 022,3"
  Total machos," 1 648,2"," 1 613,3"," 1 592,6"," 1 567,6"," 1 553,2"," 1 522,2"," 1 499,4"," 1 478,4"," 1 519,9"," 1 591,0"," 1 638,9"," 1 644,2"," 1 652,8"," 1 657,2"," 1 575,0"," 1 471,7"," 1 429,8"," 1 399,7"," 1 422,9"," 1 410,5"," 1 303,8"," 1 313,3"," 1 324,1"," 1 326,4"," 1 356,7"," 1 387,2"," 1 423,4"," 1 427,6"," 1 440,9"," 1 458,6"," 1 430,4"," 1 386,0"," 1 324,9"," 1 272,8"," 1 289,7"," 1 278,3"," 1 249,1"," 1 188,4"
    Terneros,"557,0","556,3","547,6","548,4","561,9","566,7","527,0","487,7","481,1","478,9","473,4","  466,4","  456,3","  473,3","  444,4","  418,7","  406,9","  396,5","  395,4","  386,7","  321,7","  355,2","  361,6","  372,4","  397,4","  394,4","  398,4","  395,4","403,4","396,5","  383,7","  376,8","  361,0","  361,0","  394,4","  363,7","  356,4","  343,4"
    Añojos,"378,3","348,8","332,6","310,3","323,1","301,5","285,0","265,5","267,6","300,3","315,6","  322,3","  324,8","  321,2","  318,3","  304,4","  292,8","  292,3","  285,5","  280,4","  262,4","  245,9","  260,5","  266,1","  259,8","  270,3","  268,5","  259,3","258,6","268,8","  253,6","  246,4","  237,1","  226,4","  232,0","  239,1","  221,6","  206,6"
    Toretes,"252,8","262,1","262,3","250,3","235,5","221,5","208,8","209,1","212,5","217,0","233,5","  230,5","  231,6","  235,4","  222,4","  186,5","  190,5","  194,0","  211,7","  204,6","  201,8","  193,8","  193,7","  203,7","  208,1","  211,2","  218,6","  210,2","202,2","208,2","  219,9","  214,1","  203,2","  198,9","  185,7","  189,4","  188,8","  177,2"
    Toros de ceba,"168,1","162,3","174,7","196,1","177,1","162,7","151,8","130,0","133,3","145,6","150,5","  146,0","  152,4","  150,7","  128,9","  108,3","  112,8","  105,7","  114,5","  128,1","  122,9","  131,3","  144,4","  153,7","  179,1","  202,3","  228,8","  251,6","273,6","291,8","  300,8","  299,7","  295,7","  275,9","  276,3","  285,4","  282,1","  254,9"
    Bueyes,"230,4","221,4","212,6","203,8","199,9","216,8","259,8","310,8","351,8","376,1","395,8","  414,1","  426,1","  416,9","  408,9","  413,7","  392,6","  378,5","  382,4","  377,1","  362,9","  355,3","  333,1","  301,5","  284,7","  279,1","  279,8","  284,2","279,3","271,5","  253,4","  231,8","  212,1","  195,7","  187,4","  187,5","  187,4","  192,7"
    Sementales,"49,5","48,9","49,1","46,1","44,3","43,0","55,7","65,5","73,6","73,1","70,1","  64,9","  61,6","  59,7","  52,1","  40,1","  34,2","  32,7","  33,4","  33,6","  32,1","  31,8","  30,8","  29,0","  27,6","  29,9","  29,3","  26,9","  23,8","21,8","19,0","17,2","15,8","14,9","13,9","13,2","12,8","13,6"
    Receladores,"12,1","13,5","13,7","12,6","11,4","10,0","11,3","9,8",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-


