,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Centro Nacional de Control Pecuario (CENCOP).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9.17 - Nacimientos y muertes del ganado vacuno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,                                                        Miles de cabezas
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPTO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nacimientos Totales,"1.058,3","1.142,7","1.104,7","1.092,3","1.092,5","1.055,3","1.009,2","929,6","818,6","795,3","797,8","782,0","784,1","798,4","781,6","752,6","704,3","703,1","700,0","700,3","572,7","640,9","642,8","649,9","704,7","692,8","710,3","692,3","695,4","661,9","638,2","610,0","561,6","584,2","618,6","473,0","568,7","524,5"
  Estatal,"792,0","869,1","830,6","816,2","805,9","786,0","730,8","645,5","522,9","294,3","228,5","213,0","213,7","210,7","191,5","174,2","157,6","146,4","139,5","137,4","109,2","118,2","100,7","114,9","120,3","109,6","103,1","97,9","96,9","95,1","88,4","88,7","79,6","83,4","79,8","70,0","63,5","53,7"
  No Estatal,"266,3","273,6","274,1","276,1","286,6","269,3","278,4","284,1","295,7","501,0","569,3","569,0","570,4","587,7","590,1","578,4","546,7","556,7","560,5","562,9","463,5","522,7","542,1","535,0","584,4","583,2","607,2","594,4","598,5","566,8","549,8","521,3","482,0","500,8","538,8","403,0","505,2","470,8"
Muertes Totales,"220,9","197,0","204,6","213,3","186,1","249,4","249,4","330,0","271,2","221,5","219,7","197,5","189,1","181,0","222,5","181,6","165,1","209,8","161,9","293,7","233,8","165,1","172,1","164,0","178,8","158,8","207,2","169,4","184,2","149,6","213,4","138,8","193,4","139,1","151,0","165,7","149,8","152,8"
  Estatal,"168,1","158,7","168,2","179,9","152,9","220,5","220,5","290,0","217,5","98,6","71,5","61,3","57,9","54,3","61,3","53,2","50,0","60,4","44,5","87,5","59,7","42,4","36,1","45,2","50,2","40,2","43,4","32,9","35,6","27,9","40,2","29,0","38,5","29,1","34,6","40,3","37,3","33,8"
  No Estatal,"52,8","38,3","36,4","33,4","33,2","28,9","28,9","40,0","53,7","122,9","148,2","136,2","131,2","126,7","161,2","128,4","115,1","149,4","117,4","206,2","174,1","122,7","136,0","118,8","128,6","118,6","163,8","136,5","148,6","121,7","173,2","109,8","154,9","110,0","116,4","125,4","112,5","119,0"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Centro Nacional de Control Pecuario (CENCOP).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
