9.19 - Entregas a sacrificio de ganado vacuno ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPTO,UM,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabezas           ,M,"916,4","922,4","899,4","896,4","885,7","885,8","720,5","681,4","532,5","429,2","446,1","453,2","467,2","490,5","525,5","512,0","506,4","465,1","372,3","404,0","423,3","360,7","335,7","377,3","396,2","379,1","394,7","395,6","402,8","423,7","460,5","495,1","507,5","485,8","475,0","392,8","362,3","402,1"
 De ello:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Vacas y novillas,,"400,5","383,6","389,1","391,0","382,4","406,2","294,9","269,9","232,2",205,"205,1","200,3","196,8","201,6","226,8","237,4","203,5","204,7","163,9","169,5","177,6","151,3","156,6","176,0","184,8","176,8","183,9","184,3",…,…,…,…,…,…,…,…,…,…
   Machos cebados,,"390,5","433,1","399,8","399,3","403,1","371,6","226,9","154,1","129,4","111,7","132,7","146,6","155,4","180,6","176,7","167,4","176,2","159,1","127,4","117,0","122,6","104,5","121,4","136,0","142,8","136,6","142,9","143,2",…,…,…,…,…,…,…,…,…,…
   Estatal,,,,,,,,,,,,,,,,,,,,,,,,,,"351,5","319,7","292,8","259,5","254,1","267,0","309,6","317,8","337,7","326,5","299,5","271,1","260,3","270,5"
Peso en pie,  Mt,"298,9","302,3","290,1","291,7","289,1","272,4","180,8","153,6","131,0","120,5","128,8","136,8","141,1","148,1","152,4","151,5","149,9","131,6","112,3","110,5","119,8","111,3","108,1","123,9","130,0","127,0","133,0","134,1","133,8","142,7","151,2","167,6","167,1","178,1","140,3","124,4","163,2","172,3"
 De ello:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Vacas y novillas,,"130,9","126,2","126,2","127,4","124,6","127,8","86,0","72,6","64,6","57,9","56,9","58,0","57,3","59,2","65,0","64,6","59,8","58,3","49,7","45,7","49,5","45,0","47,8","54,2","57,5","54,6","57,2","57,7",…,…,…,…,…,…,…,…,…,…
   Machos cebados,,"132,3","145,0","133,9","134,5","137,6","119,7","64,6","48,1","41,3","37,1","45,3","50,9","52,8","61,6","59,4","59,0","59,1","51,8","44,2","38,5","41,7","38,7","42,5","48,1","51,1","50,6","53,0","53,4",…,…,…,…,…,…,…,…,…,…
   Estatal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"81,3","87,1","97,8","105,1","107,0","109,2","90,5","82,0","85,2","89,4"
Peso promedio,   kg,326,328,323,325,326,308,251,225,246,281,289,302,302,302,290,296,296,283,302,274,283,309,322,328,328,335,337,339,332,337,328,339,329,367,295,317,450,429
 De ello:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Vacas y novillas,,327,329,324,326,326,315,292,269,278,282,277,289,291,294,287,272,294,285,304,270,279,297,305,308,311,309,311,313,…,…,…,…,…,…,…,…,…,…
   Machos cebados,,339,335,335,337,341,322,285,312,319,333,342,348,340,341,336,352,335,326,347,329,340,370,350,354,358,370,371,373,…,…,…,…,…,…,…,…,…,…
   Estatal,,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,328,334,333,331,320,326,316,331,317,334,302,302,327,330
