9.30 - Otros indicadores seleccionados de la silvicultura,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
CONCEPTO,  UM,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Semillas procesadas ,t,"154,8","110,3","143,9","143,7","145,8","114,9","134,8","100,5","96,9","102,4","88,4","74,2","64,8","45,6","44,3","45,8","40,3",...,…,…,…,…
Producción de posturas,  MMU,"107,7","84,2","86,0","110,6","102,3","98,5","99,9","95,8","91,9","96,8","83,8","71,4","60,5","44,5","42,4","44,3","38,0","33,5","31,5","24,7","24,4","22,0"
Reconstrucción de bosques,  Mha,"5,1","5,8","10,9","9,1","7,6","8,9","12,3","12,0","13,3","13,1","10,6","10,5","12,4","8,1","7,6","8,0","8,6","8,2","7,3","7,7","7,1","5,9"
Mantenimiento silvicultural,  Mha,"109,6","109,5","107,9","122,9","131,1","135,1","147,3","160,0","156,8","147,1","131,5","120,9","107,3","100,4","88,1","84,8","71,5","66,1","62,8","54,7","55,9","51,9"
Tratamientos silviculturales,  Mha,"71,1","72,0","75,0","79,6","79,8","81,6","86,9","98,7","103,9","100,6","90,9","79,7","81,0","62,9","73,7","84,9","78,5","80,2","79,4","69,0","70,2","52,5"
Fajas verdes,  Mkm,"1,6","1,2","1,3","1,3","1,1","1,4","1,7","1,5","2,6","1,8","1,6","2,0","1,5","1,1","1,2","1,1","0,9","0,8","0,9","0,7","0,7","0,6"
Trochas corta fuegos,  Mkm,"19,9","23,5","25,8","32,2","35,0","39,6","47,6","52,0","57,9","62,0","61,6","54,7","53,4","48,7","44,5","48,9","40,7","40,7","35,9","31,2","32,2","32,4"
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Fuente: Dirección del Servicio Estatal Forestal del Ministerio de la Agricultura (MINAG).,,,,,,,,,,,Fuente: Dirección Forestal del Ministerio de la Agricultura (MINAG).,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,  ,,,,,,,,,,,,,,,,,,,
