9.31 - Captura por grupos de especies,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Toneladas
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
CONCEPTO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Captura bruta total," 80 276,5"," 59 625,0"," 67 073,8"," 63 703,0"," 51 342,0"," 54 795,6"," 61 199,5"," 60 940,8"," 64 890,2"," 55 416,1"," 48 619,3"," 48 498,6"," 51 680,1","56.303,6","57.657,4","52.724,7","52.723,8","51.214,6","45.654,8","46.386,5","40.716,7","29.924,9"
 Pescado,"59.109,5","42.909,4","54.210,3","45.653,1","36.524,9","40.579,0","48.804,4","48.322,1","52.588,6","43.194,0","37.460,1","37.227,9","38.878,2","44.286,0","45.019,0","39.170,4","39.785,6","36.016,8","32.534,7","35.148,8","30.088,8","22.435,2"
  De ello: Plataforma,,,,,,,,,,,,,,,,,,,,,,
                     Pargo,"  773,4","  884,5","986,0","627,0","709,0","638,7","770,3","759,1","921,3","848,2","754,3","565,4","505,9","487,4","377,7","457,2","428,9","409,0","356,2","516,6","621,5","313,6"
                    Cherna,"  43,7","  42,2","39,9","64,5","41,0","58,0","36,7","34,4","44,4","23,9","30,9","25,9","13,4","25,2","29,7","19,6","23,2","19,5","27,1","15,6","44,5","24,0"
                    Túnidos,"  828,1","  685,8","956,5","998,2","971,6","1.081,9","944,7","910,1","1.051,3","771,3","970,5","894,2","681,6","936,9","950,1","874,6","1.039,9","1.090,2","728,3","851,1","716,8","470,1"
          De ello: Bonito,"  508,3","  462,4","724,0","544,2","540,8","535,7","446,3","408,9","404,3","317,9","364,8","246,4","75,4","66,9","119,6","88,6","99,4","86,5","58,5","33,5","39,5","24,6"
                             Biajaiba," 1 891,0"," 1 844,4","1.075,3","871,0","694,0","1.129,3","1.257,8","1.646,7","1.268,0","1.533,7","1.279,6","1.694,9","1.204,8","1.060,1","1.369,0","1.212,2","924,4","816,7","971,8","790,3","668,8","736,1"
                              Machuelo," 1 676,1"," 1 799,4","1.739,9","1.740,0","1.195,0","1.964,1","1.359,5","1.665,7","1.798,9","1.524,2","1.573,7","1.636,2","1.591,9","1.285,5","1.714,0","1.751,1","1.388,1","1.570,2","1.080,6","1.420,1","977,2","707,5"
                             Rabirrubia,"  412,2","  369,8","437,0","438,0","299,0","295,4","324,6","295,4","364,9","293,1","302,3","256,6","247,9","223,0","173,7","158,2","169,8","186,9","171,5","154,6","149,2","97,0"
                             Raya," 1 097,0"," 1 278,2","1.330,7","1.421,0","1.533,0","1.527,1","1.853,8","1.926,1","2.034,7","1.598,9","1.755,6","1.620,3","1.411,1","1.455,8","1.343,2","1.215,5","1.319,9","1.257,0","1.078,1","1.205,7","1.010,6","654,2"
 De ello: Acuicultura,,,,,,,,,,,,,,,,,,,,,,
