CONCEPTO(Miles de cabezas),1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Existencia total de aves  ,"25.859,3","25.677,9","25.959,3","27.307,8","27.904,0","30.208,1","20.428,0",,"15.252,4","14.944,4","14.002,8","12.330,8","30.154,3","29.259,6","28.306,1","28.345,5","26.167,7","24.177,0","23.210,0","25.032,5","27.440,1","29.847,6","29.412,8","29.200,8","30.817,0","30.950,0","33.663,3","30 182,0","32 415,5","32 285,8","31.962,9","31.336,2","25.635,4","25.614,0","35.356,1","30.245,1","29.875,0","30.154,7"
Empresas avícolas estatales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existencia total de aves,"25.859,3","25.677,9","25.959,3","27.307,8","27.904,0","30.208,1","20.428,0","16.798,8","14.367,0","13.934,7","12.081,4","11.163,9","11.285,7","10.780,1","11.177,7","9.479,0","8.984,9","8.158,4","7.997,9","9.809,3","11.228,1","13.021,6","12.831,9","12.635,9","13.301,0","13.358,6","14.529,6","13.026,8","14.340,0","14.362,8","13.633,8","14.012,4","13.886,5","13.834,0","12.253,4","13.012,1","12.589,1","12.789,2"
Gallinas ponedoras,"8.848,3","8.822,8","8.940,2","9.383,9","10.013,5","10.558,6","10.611,9","9.429,0","7.165,8","6.462,0","5.493,0","5.395,5","4.910,5","5.229,8","5.264,8","4.794,4","4.241,1","4.142,4","4.689,5","4.731,2","6.692,0","7.648,2","7.671,0","7.555,9","7.229,4","7.081,3","7.860,1","7 266,6","7.765,4","7.985,5","7.717,5","7.299,4","7.464,3","7.480,1","7.554,0","7.314,2","7.125,4","7.325,1"
Reemplazos de gallinas ponedoras,"5.230,1","5.069,3","5.603,7","5.723,5","5.961,2","6.397,7","6.429,6","4.858,2","5.236,8","3.923,4","3.276,9","3.019,0","3.829,0","3.387,3","3.747,4","3.103,3","3.549,0","3.202,7","2.674,2","4.403,1","3.932,5","4.264,0","4.029,0","3.968,6","4.606,2","4.937,4","5.237,9","4 421,0","4.763,0","5.021,9","4.650,2","4.420,8","4.989,8","5.055,1","2.963,2","4.213,0","3.578,1","3.987,2"
Pollos de ceba,"9.469,1","9.541,4","8.945,5","9.700,7","9.294,6","10.351,9","314,3","475,3","406,6","1.963,2","1.853,6","1.252,1","1.022,9","894,6","814,0","336,1","152,2","50,7","29,9","12,8",-,"0,2","3,6","3,5",-,-,-,-,-,-,-,-,-,-,-,-,-,-
Reproductoras ,,,,,,,,,,,,,,,,,,,,,,"308,0","281,2","277,0","377,2","272,1","361,0","320,3","381,5","244,8","287,6","223,2","271,3","351,0","237,0","256,5","235,4","250,6"
De carne,"810,9","767,7","750,4","846,7","922,8","995,2","813,7","457,1","341,0","440,9","355,8","423,0","347,0","327,8","414,7","273,1","197,3","13,0","45,4","33,1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De ponedoras,"336,8","292,2","286,3","328,7","323,9","361,5","369,3","433,5","322,3","353,2","277,2","282,6","335,4","210,6","249,7","221,8","192,4","204,0","196,4","226,5","281,1","308,0","281,2","277,0","377,2","272,1","361,0"," 320,3","381,5","244,8","287,6","223,2","271,3","351,0","237,0","256,5","235,4","250,6"
Reemplazos de reproductoras ,,,,,,,,,,,,,,,,,,,,,,"196,4","252,3","248,5","228,4","256,0","204,3","205,5","247,3","235,9","278,9","254,6","198,2","172,4","301,3","241,2","212,3","231,0"
De carne,"778,5","704,3","952,1","842,6","942,1","1.061,6","1.099,2","661,9","511,9","373,4","461,4","383,6","453,4","249,6","268,0","354,3","160,6","44,4","11,1","45,1",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
De ponedoras,"207,3","243,8","295,3","265,1","264,8","355,1","507,7","401,5","311,1","349,1","233,5","249,7","196,9","221,1","239,9","196,5","232,3","241,7","168,6","160,2","147,6","196,4","252,3","248,5","228,4","256,0","204,3"," 205,5","247,3","235,9","278,9","254,6","198,2","172,4","301,3","241,2","212,3","231,0"
Otras,"178,3","236,4","185,8","216,6","181,1","126,5","282,3","82,3","71,5","69,5","130,0","158,4","190,6","259,3","179,2","199,3","260,0","259,5","182,8","197,3","174,9","604,8","594,8","585,9","859,8","811,8","866,3"," 813,4","1.182,8","874,7","699,6","1.814,4","962,9","775,5","1.198,0","987,2","997,9","1.023,5"

