2.11 - Emisiones de gases de efecto invernadero(a),,,,,,,,2.11 - Emisiones de gases de efecto invernadero,,,,,,,,,2.11 - Emisiones de gases de efecto invernadero ,,,,,,,,,2.11 - Emisiones de gases de efecto invernadero.,,,,,,,
         ,,,,,,,,          ,,,,,,,,,          ,,,,,,,,,,,,,,,,
,,,,,,Gigagramo,,,,,,,,,Gigagramo,,,,,,,,,Gigagramo,,          ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gigagramo
,,,,,,,,,,,,,,,,,,,,,,,,,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2
AÑOS,CO2,CH4,N2O,SF6,HFC,PFC,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2,,AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2010 (a),,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,,,,,,,,1998,,,,,,,,,2006 (a),,,,,,,,,Emisiones brutas,"35.234,06","641,95","24,61","93,26","379,60","32,64","807,11"
Emisiones Brutas,"35.495,95","371,61","22,75",…,…,…,,Emisiones brutas,"27.973,77","354,78","11,65","97,00","546,00","98,02","462,72",,Emisiones brutas,"29.425,49","525,32","18,45","104,19","453,08","82,52","780,30",,,,,,,,,
Emisiones Netas,"23.324,00","371,61","22,75",…,…,…,,Emisiones netas,"15.117,34","355,20","11,65","97,10","549,65","98,02","462,72",,Emisiones netas,"8.053,26","526,23","18,45","104,41","461,02","82,52","780,30",,Emisiones netas,"10.605,02","641,95","24,61","93,26","379,60","32,64","807,11"
       Energía,"31.698,34","31,73","1,20",…,…,…,,2000,,,,,,,,,      Energía,"28.114,62","186,55","0,34","104,18","450,77","41,20","772,71",,      Energía,"32.931,01","137,39","0,76","92,90","358,52","32,59","799,39"
       Procesos industriales y uso de productos,"2.230,27",-,"3,32",…,…,…,,Emisiones brutas,"26.586,21","365,81","11,06","96,81","594,92","432,46","513,64",,      Procesos industriales,"1.155,83",.,"0,26","0,01","2,31","41,32","7,59",,      Procesos industriales,"987,32",.,"0,15","0,01","2,50","0,05","7,72"
"       Agricultura, silvicultura y otros usos de la tierra","-10.604,61","241,39","17,77",…,…,…,,Emisiones netas,"14.080,54","366,71","11,07","97,03","602,81","432,46","513,64",,  Agricultura,"155,04","192,57","17,25",.,.,..,..,,  Agricultura,"31,37","349,16","23,15","0,20","6,22",..,..
       Desechos,-,"98,49","0,46",…,…,…,,2002,,,,,,,,,  Cambio de uso de la tierra y silvicultura,"-21.372,23","0,91","0,01","0,22","7,94",..,..,,  Cambio de uso de la tierra y silvicultura,"-23.344,68","0,15",-,"0,15","12,36",..,..
1992,,,,,,,,Emisiones brutas,"24.892,94","398,35","9,80","83,82","484,50","283,52","622,51",,  Desechos,.,"146,20","0,59",.,.,.,.,,  Desechos,.,"155,25","0,55",.,.,.,.
Emisiones brutas,"23.576,08","373,85","15,49",…,…,…,,Emisiones netas,"11.698,62","400,37","9,81","84,32","502,15","283,52","622,51",,2008 (a),,,,,,,,,2014 (a),,,,,,,
Emisiones netas,"9.778,00","373,85","15,49",…,…,…,,2004 (a),,,,,,,,,Emisiones brutas,"33.903,28","568,19","19,05","97,69","366,99","75,57","835,59",,,,,,,,,
      Energía,"20.755,31","38,06","1,00",…,…,…,,Emisiones brutas,"24.233,86","398,98","7,33","82,59","494,72","104,05","665,80",,Emisiones netas,"13.153,63","568,59","19,05","97,79","370,51","75,57","835,59",,Emisiones brutas,"34.843,63","666,75","25,88","92,35","476,04","63,37","779,71"
      Procesos industriales y uso de productos,"872,06",-,"0,11",…,…,…,,Emisiones netas,"9.696,11","400,34","7,34","82,93","506,60","104,05","665,80",,      Energía,"32.624,04","216,47","0,39","97,68","364,53","31,91","827,99",,,,,,,,,
"      Agricultura, silvicultura y otros usos de la tierra","-11.849,37","239,81","13,99",…,…,…,,      Energía,"23.049,87","108,33","0,58","81,76","470,30","29,83","657,60",,      Procesos industriales,"1.119,34",.,"0,25","0,01","2,46","43,66","7,60",,Emisiones netas,"7.751,96","666,75","25,88","92,35","476,04","63,37","779,71"
