"4.2 - Principales entidades clasificadas por formas de organización y actividades fundamentales, año 2006",,,,,"4.2 - Principales entidades clasificadas por formas de organización y actividades fundamentales, año 2007",,,,,"4.2 - Principales entidades clasificadas por formas de organización y actividades fundamentales, año 2008",,,,,"4.2 - Principales entidades clasificadas por formas de organización y actividades fundamentales, año 2009",,,,,"4.2 - Principales entidades clasificadas por formas de organización y actividades fundamentales, año 2010",,,,,"4.2 - Principales entidades clasificadas por formas de organización y actividades fundamentales, año 2011",,,,,"4.2 - Principales entidades clasificadas por formas de organización y actividades fundamentales, año 2012",,,,,"4.2 - Principales entidades clasificadas por formas de organización y actividades fundamentales, año 2013  ",,,,,,,,,,"4.2 - Principales entidades clasificadas por formas de organización y actividades fundamentales, año 2014 ",,,,,,,,,,"4.2 - Principales entidades clasificadas por formas de organización y actividades fundamentales, año 2015 ",,,,,,,,,,"4.2 - Principales entidades clasificadas por formas de organización y actividades fundamentales, año 2016 ",,,,,,,,,,,"4.2- Principales entidades clasificadas por formas de organización y actividades fundamentales, año 2017",,,,,,,,,,,4.2 - Principales entidades clasificadas por formas de organización y actividades economicas ,,,,,,,,,,,4.2 - Principales entidades clasificadas por formas de organización y actividades economicas ,,,,,,,,,,,,4.2 - Principales entidades clasificadas por formas de organización y actividades economicas ,,,,,,,,,,,"4.2 - Principales entidades clasificadas por formas de organización y actividades economicas fundamentales, año 2021.",,,,,,,,,,,,"4.2 - Principales entidades clasificadas por formas de organización y actividades economicas fundamentales, año 2022.",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"        fundamentales, año 2018",,,,,,,,,,,"        fundamentales, año 2019",,,,,,,,,,,,"        fundamentales, año 2020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Unidad,          ,,,,Unidad,,,,,Unidad,,,,,Unidad,,,,,Unidad,,,,,Unidad,,,,,Unidad,,,,,,,,,,Unidad,,,,,,,,,,Unidad,,,,,,,,,,Unidad,,,,,,,,,,Unidad,,,,,,,,,,,Unidad,,,,,,,,,,,Unidad,,,,,,,,,,,Unidad,,,,,,,,,,,,Unidad,,,,,,,,,,,,Unidad,,,,,,,,,,,,,,Unidad
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sociedades,,Cooperativas,,,,,Unidades,,,,Unidades,Empresas ,Sociedades,Empresas ,Mipyme,Mipyme,Cooperativas,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,MIPYMES,Total,CNoA,UBPC,CPA,CCS,Presupuestadas,,ACTIVIDAD ECONÓMICA,Total,Presupuestadas,Estatales, Mercantiles,Filiales,Estatal,Privada,Total,CNoA,UBPC,CPA,CCS
,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,,Sociedades,Cooperativas,,,,,Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas ,Cooperativas,Presupuestadas,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,CONCEPTO,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,,ACTIVIDAD ECONÓMICA,Total,Empresas , Mercantiles,Total,CNoA,UBPC,CPA,CCS,Presu.,,Total,9 740,1 867, 258, 270,5 211, 426,1 459, 863,2 463,2 404,,Total,14 536,2 418,1 863, 268, 134, 51,4 665,5 137, 474,1 394, 839,2 430
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agricultura, ganadería, caza y silvicultura",5 018,1,275,-,3,-,76,4.663,-,1.394,839,2.430
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agricultura, ganadería, caza y silvicultura",5.060,273,-,7,4.785,-,1.459,863,2.463,2,,Pesca, 61,1,22,2,-,-,34,2,2,-,-,-
Total,12.455,3.519,6.843,2.093,Total,12.314,3.417,6.683,2.214,Total,12.462,3.356,6.581,2.525,Total,12.141,3.169,6.398,2.574,Total,11.857,3.090,6.253,2.514,Total,10.963,2.697,5.811,2.455,Total,10.556,2.486,5.688,2.382,Total,10.246,2.235,237,5.420,198,1.811,909,2.502,2.354,Total,10.024,1.992,229,5.506,345,1.754,903,2.504,2.297,Total,10.014,1.956,224,5.473,367,1.699,897,2.510,2.361,Total,9.833,1.904,223,5.361,397,1.606,887,2.471,2.345,,Total,9 628,1 801, 230,5 355, 439,1 563, 882,2 471,2 242,,Total,9 560,1 776, 236,5 307, 434,1 527, 878,2 468,2 241,,Total,9 542,1 774, 237,5 290, 431,1 519, 876,2 464,2 241,,,Total,9 560,1 795, 255,5 278, 421,1 513, 876,2 468,2232 ,,Pesca,25,23,2,2,-,-,-,-,-,-,,Explotación de minas y canteras, 30,-,19,4,1,-,6,-,-,-,-,-
"  Agricultura, ganadería, Caza y Silvicultura",7.471,607,6.843,21,"  Agricultura, ganadería, Caza y Silvicultura",7.253,550,6.683,20,"  Agricultura, ganadería, caza y silvicultura",7.148,547,6.581,20,"  Agricultura, ganadería, caza y silvicultura",6.855,437,6.398,20,"  Agricultura, ganadería, caza y silvicultura",6.704,430,6.253,21,"  Agricultura, ganadería, caza y silvicultura",6.229,399,5.811,19,"  Agricultura, ganadería, caza y silvicultura",6.089,382,5.688,19,"Agricultura, ganadería y silvicultura",5.612,371,1,5.222,-,1.811,909,2.502,18,"Agricultura, ganadería y silvicultura",5.546,366,1,5.161,-,1.754,903,2.504,18,"Agricultura, ganadería y silvicultura",5.485,360,1,5.106,-,1.699,897,2.510,18,"Agricultura, ganadería y silvicultura",5.329,347,1,4.964,-,1.606,887,2.471,17,,"Agricultura, ganadería y silvicultura",5 204,286,1,4 916,-,1 563,882,2 471,1,,"Agricultura, ganadería y silvicultura",5 148,273,1,4 873,-,1 527,878,2 468,1,,"Agricultura, ganadería y silvicultura",5 129,268,1,4 859,-,1 519,876,2 464,1,,,"Agricultura, ganadería y silvicultura",5 127,268,1,4 857,-,1 513,876,2 468,"1,0 ",,Explotación de minas y canteras,24,19,5,-,-,-,-,-,-,-,,Industria azucarera, 57,-,55,-,2,-,-,-,-,-,-,-
