"4.4- Micro, Pequeñas y Medianas Empresas (MIPYMES)  por territorios y Actividad Económica, Diciembre 2022.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,Unidad,,,,,
PROVINCIA / CNAE, Alojamiento y de Servicios de Comida,"Agricultura, Ganadería, Silvicultura y Pesca",Comercio (a),Industrias Manufactureras,Información y Comunicaciones,Transporte y Almacenamiento,Construcción,Resto de las  Actividades,,,,TOTAL,
,,,,,,,,,,,,,
Cuba,723,115,340,1.715,169,162,1.120,372,,,,4.716,"100,0"
  Pinar del Río,44,3,12,59,2,3,24,15,,, Alojamiento y de Servicios de Comida,723,"15,3"
  Artemisa,23,6,19,88,2,7,42,14,,,"Agricultura, Ganadería, Silvicultura y Pesca",115,"2,4"
  La Habana,271,14,135,585,92,75,436,145,,,Comercio (a),340,"7,2"
  Mayabeque,11,4,8,46,3,6,18,5,,,Industrias Manufactureras,1.715,"36,4"
  Matanzas,48,12,14,92,9,4,82,23,,,Información y Comunicaciones,169,"3,6"
  Villa Clara,43,5,20,146,6,5,57,14,,,Transporte y Almacenamiento,162,"3,4"
  Cienfuegos,22,3,4,29,1,2,30,9,,,Construcción,1.120,"23,7"
  Sancti Spíritus,49,1,9,80,5,1,37,8,,,Resto de las  Actividades,372,"7,9"
  Ciego de Ávila,12,2,8,32,4,5,26,6,,,,,
  Camagüey,20,11,7,78,5,1,28,10,,,,,
  Las Tunas,19,10,10,50,2,9,11,7,,,,,
  Holguín,23,10,25,101,8,10,90,35,,,,,
  Granma,50,21,32,146,15,14,134,31,,,,,
  Santiago de Cuba,40,6,21,104,12,11,74,25,,,,,
  Guantánamo,36,5,13,75,3,9,18,21,,,,,
  Isla de la Juventud ,12,2,3,4,-,-,13,4,,,,,
