8.12 -  Importaciones de productos seleccionados según secciones y capítulos de la Clasificación Uniforme para el Comercio  Internacional (CUCI) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sección ,Capítulo,CONCEPTO, UM,1998 ,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, Valor total de las importaciones (a),MP,4.181.192,4.349.090,4.795.613,4.793.235,4.140.767,4.612.598,5.615.198,7.604.259,9.497.890,10.079.210,14.234.094,8.906.010,10.644.338,13.952.403,13.800.851,14.706.619,13.036.844,11.702.367,10.269.904,10.171.983,11.483.653,9.901.427,7.230.347,8.431.207,9.833.120,,,,,,
0 ,,   Productos alimenticios y animales vivos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,704.200,722.396,671.801,755.569,737.755,855.086,1.034.090,1.316.928,1.259.277,1.548.923,2.205.342,1.495.900,1.467.094,1.863.194,1.644.877,1.848.051,1.917.741,1.800.910,1.777.568,1.823.671,1.929.447,1.910.343,1.619.803,1.954.932,2.024.001,,,,,,
,00,     Animales vivos no incluidos en el cap. 03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,260,228,232,230,431,846,144,9.072,694,998,274,344,1.408,1.110,392,1.672,22,484,295,48,269,376,-,-,346,,,,,,
,01,     Carne y preparados de carne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Valor,MP,65.446,94.304,91.170,129.115,127.595,130.216,186.951,201.982,228.469,244.132,280.166,284.544,271.274,284.420,310.950,321.711,283.430,320.171,313.949,367.505,383.631,430.768,378.098,526.003,624.522,,,,,,
,,"     Carne de ganado bovino, congelada, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,     deshuesada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,618,1.129,1.378,2.316,1.862,1.630,5.406,7.853,6.726,4.066,4.847,5.261,4.963,1.641,746,1.089,575,1.251,1.286,1.792,1.988,2.880,1.482,1.378,1.837,,,,,,
,,         Valor,MP,2.733,4.743,4.877,6.706,5.118,5.758,13.761,18.324,17.579,14.068,22.871,22.411,28.138,9.089,5.391,7.510,4.496,8.641,7.648,11.278,12.094,13.828,8.088,8.215,11.426,,,,,,
,,"     Carne de ganado porcino, congelada",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,         Cantidad,t,3.653,5.540,5.890,9.333,7.362,7.137,8.438,10.618,14.231,8.500,7.850,8.848,10.256,4.805,4.195,4.984,3.514,4.514,4.092,4.221,3.667,4.194,2.328,4.555,13.094,,,,,,
