2.11 - Emisiones brutas de gases de efecto invernadero (a),,,,,,,
,,,,,,,Gigagramo
,,,,,,,
,,,,,,,
AÑOS,CO2,CH4,N2O,NOx,CO,COVDM,SO2
,,,,,,,
,,,,,,,
1990,,,,,,,
Emisiones brutas,"33.899,59","348,51","20,71","139,71","1.141,98","195,69","477,49"
Emisiones netas,"23.295,00","348,83","20,71","139,79","1.144,74","195,69","477,49"
Energía,"31.699,41","31,74","1,20","129,12","1.047,29","42,81","469,76"
Procesos Industriales,"2.200,18",-,"3,32","8,01","3,82","137,17","7,73"
Uso de Solventes,..,..,.,..,..,"15,71",..
Agricultura,..,"198,23","15,73","2,58","90,87",-,..
    Cambio de Uso de la Tierra y Silvicultura,"-10.604,59","0,32",-,"0,08","2,76",..,..
Desperdicios,.,"118,54","0,46",.,.,.,.
1992,,,,,,,
Emisiones brutas,"21.598,80","348,46","14,04","92,57","972,83","143,75","349,14"
Emisiones netas,"9.740,89","348,91","14,04","92,68","976,74","143,75","349,14"
Energía,"20.755,31","38,07","1,01","90,19","897,31","33,37","343,43"
Procesos Industriales,"843,49",-,"0,11","0,27","1,34","99,20","5,71"
Uso de Solventes,..,..,.,..,..,"11,18",..
Agricultura,..,"200,34","12,53","2,11","74,18",..,..
    Cambio de Uso de la Tierra y Silvicultura,"-11.857,91","0,45",-,"0,11","3,91",..,..
Desperdicios,.,"110,05","0,39",.,.,.,.
1994,,,,,,,
Emisiones brutas,"22.193,47","342,58","10,33","84,95","645,61","88,47","401,91"
Emisiones netas,"9.394,09","343,20","10,33","85,10","651,02","88,47","401,91"
Energía,"21.352,04","45,16","0,75","83,42","607,03","21,35","397,00"
Procesos Industriales,"841,43",-,"0,19","0,47","1,41","57,28","4,91"
Uso de Solventes,..,..,.,..,..,"9,84",..
Agricultura,..,"196,05","9,02","1,06","37,17",..,..
    Cambio de Uso de la Tierra y Silvicultura,"-12.799,38","0,62",-,"0,15","5,41",..,..
Desperdicios,.,"101,37","0,37",.,.,.,.
1996,,,,,,,
Emisiones brutas,"26.382,13","344,30","11,47","103,62","662,09","108,27","444,31"
Emisiones netas,"13.237,02","345,18","11,48","103,84","669,77","108,27","444,31"
Energía,"25.324,11","51,19","0,76","100,98","608,85","24,75","437,74"
Procesos Industriales,"1.058,02",-,"0,49","1,19","2,07","72,35","6,57"
