"4.4 - Principales entidades clasificadas por formas de organización, órgano u organismo y organización superior ",,,,,,,,,,
"        de dirección empresarial, año 2017",,,,,,,,,,
,,,,,Unidad,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,Unidades,,,,,          
,,,Sociedades,,Presu-,,,,,
CONCEPTO,Total,Empresas , Mercantiles,Cooperativas,puestadas,,,,,
,,,,,,,,,,
,,,,,,,,,,
Total,9.628,1.801,230,5.355,2.242,,,,,
Ministerio de Industrias,161,120,6,28,7,,,,,
 Subordinadas al organismo superior,31,-,-,28,3,,,,,
 Grupo Empresarial de la Industria Ligera,24,21,2,-,1,,,,,
 Grupo Empresarial de la Industria Química,14,12,1,-,1,,,,,
" Grupo de la Industria Electrónica, la Informática, la Automatización",,,,,,,,,,
   y las Comunicaciones,19,16,2,-,1,,,,,
 Grupo Empresarial de la Industria Sidero Mecánica,73,71,1,-,1,,,,,
Ministerio de Energía y Minas,132,101,16,5,10,,,,,
 Subordinadas al organismo superior,18,2,3,5,8,,,,,
 Grupo Empresarial del Níquel,18,10,7,-,1,,,,,
 Unión Eléctrica,42,41,1,-,-,,,,,
 Unión Cuba-Petróleo,38,34,3,-,1,,,,,
 Grupo Empresarial Geominero-Salinero ,15,13,2,-,-,,,,,
 Grupo Empresarial de la Industria Química,1,1,-,-,-,,,,,
Grupo Azucarero (AZCUBA),850,24,5,820,1,,,,,
Ministerio de la Industria Alimentaria,113,95,9,3,6,,,,,
 Subordinadas al organismo superior,18,-,9,3,6,,,,,
 Grupo Empresarial de la Industria Alimentaria,95,95,-,-,,,,,,
Instituto de Recursos Hidráulicos,86,67,1,-,18,,,,,
 Subordinadas al organismo superior,85,67,1,,17,,,,,
 Entidades de Recursos Hidraúlicos,1,-,-,-,1,,,,,
Ministerio de la Construcción,204,127,5,68,4,,,,,
 Subordinadas al organismo superior,72,-,-,68,4,,,,,
 Grupo Empresarial de Diseño e Ingeniería de la Construcción,35,32,3,-,-,,,,,
 Grupo empresarial de Construcción y Montaje,55,55,-,-,-,,,,,
 Grupo empresarial de Materiales de la Construcción,42,40,2,-,-,,,,,
Ministerio de la Agricultura,4.631,361,5,4.096,169,,,,,
 Subordinadas al organismo superior,4.304,51,1,4.096,156,,,,,
 Grupo Empresarial Ganadero,86,82,-,-,4,,,,,
 Grupo Empresarial de Logística,25,25,-,-,-,,,,,
 Grupo Empresarial Agrícola,75,68,1,-,6,,,,,
 Grupo Empresarial Flora y Fauna,6,5,1,-,-,,,,,
 Grupo Empresarial de Producciones Biofarmaceúticas y Químicas,15,14,1,-,-,,,,,
 Grupo Empresarial Agroforestal,77,75,-,-,2,,,,,
 Grupo Empresarial de Tabaco de Cuba,43,41,1,-,1,,,,,
,,,,,,,,,,
Ministerio del Transporte, 112,71,22,9,10,,,,,
 Subordinadas al organismo superior,26,3,4,9,10,,,,,
 Grupo Empresarial de Servicios de Transporte Automotor,21,19,2,-,,,,,,
 Grupo Empresarial de Transporte Marítimo Portuario,28,24,4,-,-,,,,,
" Corporación de la Aviación Cubana, S.A.",12,-,12,-,-,,,,,
 Grupo Empresarial Constructor del Transporte,17,17,0,-,-,,,,,
