4.2 -  Principales entidades clasificadas por formas de organización  ,,,,,4.2 -  Principales entidades clasificadas por formas de organización  ,,,,,4.2 -  Principales entidades clasificadas por formas de organización  ,,,,,4.2 -  Principales entidades clasificadas por formas de organización  ,,,,,4.2 -  Principales entidades clasificadas por formas de organización  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"           y provincias, año 2006 ",,,,,"         y provincias,  año 2007 ",,,,,"          y provincias, año 2008",,,,,"          y provincias, año 2009 ",,,,,"           y provincias, año 2010 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Unidad,,,,,Unidad,,,,,Unidad,,,,,Unidad,,,,,Unidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROVINCIAS,Total,Empresas ,Cooperativas,Presupuestadas,PROVINCIAS,Total,Empresas ,Cooperativas,Presupuestadas,PROVINCIAS,Total,Empresas ,Cooperativas,Presupuestadas,PROVINCIAS,Total,Empresas ,Cooperativas,Presupuestadas,PROVINCIAS,Total,Empresas ,Cooperativas,Presupuestadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba, 12 455 , 3 519 , 6 843 , 2 093 ,Cuba, 12 314 , 3 417 , 6 683 , 2 214 ,Cuba, 12 462 , 3 356 , 6 581 , 2 525 ,Cuba, 12 141 , 3 169 , 6 398 , 2 574 ,Cuba, 11 857 , 3 090 , 6 253 , 2 514 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Pinar del Río,  978 ,  189 ,  672 ,  117 ,  Pinar del Río,  984 ,  182 ,  667 ,  135 ,  Pinar del Río,  984 ,  166 ,  654 ,  164 ,  Pinar del Río,  971 ,  153 ,  654 ,  164 ,  Pinar del Río,  930 ,  148 ,  624 ,  158 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  La Habana,  671 ,  150 ,  430 ,  91 ,  La Habana,  653 ,  131 ,  430 ,  92 ,  La Habana,  777 ,  177 ,  413 ,  187 ,  La Habana,  692 ,  124 ,  414 ,  154 ,  La Habana,  720 ,  171 ,  398 ,  151 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Ciudad de La Habana, 2 003 , 1 179 ,  220 ,  604 ,  Ciudad de La Habana, 1 984 , 1 154 ,  220 ,  610 ,  Ciudad de La Habana, 1 916 , 1 082 ,  222 ,  612 ,  Ciudad de La Habana, 1 901 , 1 121 ,  124 ,  656 ,  Ciudad de La Habana, 1 779 , 1 057 ,  125 ,  597 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Matanzas,  661 ,  241 ,  306 ,  114 ,  Matanzas,  676 ,  230 ,  306 ,  140 ,  Matanzas,  682 ,  226 ,  292 ,  164 ,  Matanzas,  638 ,  197 ,  277 ,  164 ,  Matanzas,  627 ,  190 ,  275 ,  162 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Villa Clara,  887 ,  225 ,  530 ,  132 ,  Villa Clara,  823 ,  204 ,  485 ,  134 ,  Villa Clara,  825 ,  200 ,  485 ,  140 ,  Villa Clara,  822 ,  192 ,  485 ,  145 ,  Villa Clara,  831 ,  180 ,  485 ,  166 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Cienfuegos,  587 ,  164 ,  320 ,  103 ,  Cienfuegos,  593 ,  161 ,  320 ,  112 ,  Cienfuegos,  600 ,  158 ,  318 ,  124 ,  Cienfuegos,  591 ,  149 ,  318 ,  124 ,  Cienfuegos,  496 ,  145 ,  229 ,  122 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
